suburb_name,image_location,local_government_area,optional_fun_fact,anchor_suburb
Acacia Ridge,output/localities/Acacia Ridge.jpg,Brisbane City,,Acacia Ridge
Albion,output/localities/Albion.jpg,Brisbane City,,Albion
Alderley,output/localities/Alderley.jpg,Brisbane City,,Alderley
Algester,output/localities/Algester.jpg,Brisbane City,,Algester
Annerley,output/localities/Annerley.jpg,Brisbane City,,Annerley
Anstead,output/localities/Anstead.jpg,Brisbane City,,Anstead
Archerfield,output/localities/Archerfield.jpg,Brisbane City,,Archerfield
Ascot,output/localities/Ascot.jpg,Brisbane City,,Ascot
Ashgrove,output/localities/Ashgrove.jpg,Brisbane City,,Ashgrove
Aspley,output/localities/Aspley.jpg,Brisbane City,,Aspley
Auchenflower,output/localities/Auchenflower.jpg,Brisbane City,,Auchenflower
Bald Hills,output/localities/Bald Hills.jpg,Brisbane City,,Bald Hills
Balmoral,output/localities/Balmoral.jpg,Brisbane City,,Balmoral
Banks Creek,output/localities/Banks Creek.jpg,Brisbane City,,Banks Creek
Banyo,output/localities/Banyo.jpg,Brisbane City,,Banyo
Bardon,output/localities/Bardon.jpg,Brisbane City,,Bardon
Bellbowrie,output/localities/Bellbowrie.jpg,Brisbane City,,Bellbowrie
Belmont,output/localities/Belmont.jpg,Brisbane City,,Belmont
Boondall,output/localities/Boondall.jpg,Brisbane City,,Boondall
Bowen Hills,output/localities/Bowen Hills.jpg,Brisbane City,,Bowen Hills
Bracken Ridge,output/localities/Bracken Ridge.jpg,Brisbane City,,Bracken Ridge
Bridgeman Downs,output/localities/Bridgeman Downs.jpg,Brisbane City,,Bridgeman Downs
Brighton,output/localities/Brighton.jpg,Brisbane City,,Brighton
Brisbane Airport,output/localities/Brisbane Airport.jpg,Brisbane City,,Brisbane Airport
Brisbane City,output/localities/Brisbane City.jpg,Brisbane City,,Brisbane City
Brookfield and Upper Brookfield,output/combined_localities/Brookfield and Upper Brookfield.jpg,Brisbane City,,Brookfield
Bulimba,output/localities/Bulimba.jpg,Brisbane City,,Bulimba
Bulwer,output/moreton_island_localities/Bulwer.jpg,Brisbane City,,Bulwer
Burbank,output/localities/Burbank.jpg,Brisbane City,,Burbank
Calamvale,output/localities/Calamvale.jpg,Brisbane City,,Calamvale
Camp Hill,output/localities/Camp Hill.jpg,Brisbane City,,Camp Hill
Cannon Hill,output/localities/Cannon Hill.jpg,Brisbane City,,Cannon Hill
Carina,output/localities/Carina.jpg,Brisbane City,,Carina
Carina Heights,output/localities/Carina Heights.jpg,Brisbane City,,Carina Heights
Carindale,output/localities/Carindale.jpg,Brisbane City,,Carindale
Carseldine,output/localities/Carseldine.jpg,Brisbane City,,Carseldine
Chandler,output/localities/Chandler.jpg,Brisbane City,,Chandler
Chapel Hill,output/localities/Chapel Hill.jpg,Brisbane City,,Chapel Hill
Chelmer,output/localities/Chelmer.jpg,Brisbane City,,Chelmer
Chermside and Chermside West,output/combined_localities/Chermside and Chermside West.jpg,Brisbane City,,Chermside
Chuwar,output/localities/Chuwar.jpg,Brisbane City,,Chuwar
Clayfield,output/localities/Clayfield.jpg,Brisbane City,,Clayfield
Coopers Plains,output/localities/Coopers Plains.jpg,Brisbane City,,Coopers Plains
Coorparoo,output/localities/Coorparoo.jpg,Brisbane City,,Coorparoo
Corinda,output/localities/Corinda.jpg,Brisbane City,,Corinda
Cowan Cowan,output/moreton_island_localities/Cowan Cowan.jpg,Brisbane City,,Cowan Cowan
Darra,output/localities/Darra.jpg,Brisbane City,,Darra
Deagon,output/localities/Deagon.jpg,Brisbane City,,Deagon
Doolandella,output/localities/Doolandella.jpg,Brisbane City,,Doolandella
Drewvale,output/localities/Drewvale.jpg,Brisbane City,,Drewvale
Durack,output/localities/Durack.jpg,Brisbane City,,Durack
Dutton Park,output/localities/Dutton Park.jpg,Brisbane City,,Dutton Park
Eagle Farm,output/localities/Eagle Farm.jpg,Brisbane City,,Eagle Farm
East Brisbane,output/localities/East Brisbane.jpg,Brisbane City,,East Brisbane
Eight Mile Plains,output/localities/Eight Mile Plains.jpg,Brisbane City,,Eight Mile Plains
